"About Fund","Fund","Country","USD","Stage","Value (Original Currency)","Original Currency (ISO)","Purpose","Target Population","Fund Link","INDIGO Link","Fund Value","Evaluation Report","Notes","Static FX Date","INDIGO ID","Fund Convener","ImpactDB ID"
"More details","Impact-Linked Fund for WASH","Various","0.0","Not known","0.0","USD","The Impact-Linked Fund for Water Sanitation and Hygiene (ILF for WASH) is an innovative finance programme. It offers a suite of Impact-Linked Finance (results-based) solutions to water and sanitation enterprises in Africa, Asia, and the Middle East looking to scale and increase their impact.  ILF for WASH provides acceleration support and catalytic financing that contribute to mobilising private investments and scaling water and sanitation enterprises sustainably. This will ultimately contribute to achieving SDG 6,  universal access to clean water and sanitation.   Financed by Aqua for All, ILF for WASH is developed and implemented in partnership with Roots of Impact. The programme builds on the learnings and promising results piloted by the SIINC for WASH programme, launched in mid-2020. SIINC for WASH was also financed by Aqua for All and was co-designed and implemented in partnership with Roots of Impact.","Low-income populations without access to clean drinking water or good sanitation in the Global South","View","View","0","","","16/06/2024 11:17 AM","INDIGO-PL-0062","Aqua For All","impactdb_of_27"
"More details","Jobs Boost Outcomes Fund","South Africa","16.4","Active","300,000,000.0","ZAR","Jobs Boost is a R300 million pay-for-performance model being piloted in South Africa. It is an outcomes fund that works with implementing partners to secure sustainable, quality jobs for unemployed, excluded youth.","The innovative programme, the largest of its kind globally, will work with implementing partners to train unemployed, previously excluded youth and secure sustainable, quality jobs for them.","","View","R300M","","","16/06/2024 10:11 AM","INDIGO-FUND-0037","Employment Outcomes NPC","impactdb_of_21"
"More details","Life Chances Fund","United Kingdom","101.4","Historic","80,000,000.0","GBP","The Life Chances Fund is a commitment by central government to help people in society who face the most significant barriers to leading happy and productive lives. The fund aims to tackle entrenched social issues and is structured around six key themes: drug and alcohol dependency, children’s services, early years, young people, older people’s services, and healthy lives.   The Life Chances Fund intends to address entrenched social issues by increasing the number, scale and evidence base for SIBs in England, generating public sector efficiencies by delivering better outcomes to idenitfy cashable savings, and increasing the amount of capital available to a wider range of voluntary, community and social enterprise (VCSE) sector providers to enable them to compete for public sector contracts.","Disadvantaged populations in the UK","View","View","£80M","","About:  https://assets.publishing.service.gov.uk/media/5e830040e90e0706ebaa81fb/LCF_FAQs_FINAL_DRAFT.pdf  https://www.tnlcommunityfund.org.uk/funding/programmes/commissioning-better-outcomes-and-social-outcomes-fund","15/06/2024 06:30 PM","INDIGO-FUND-0012","National Lottery Community Fund & Cabinet Office","impactdb_of_8"
"More details","LOGRA Outcomes Fund","Colombia","4.2","Not known","17,560,000,000.0","COP","The Colombian Outcomes Fund aims to increase employment in the formal sector in Colombia through outcomes-based commissioning","The Colombian Outcomes Fund aims to increase employment by exploring payment by results and impact bond financing mechanisms. The fund invites intermediary organisations to identify and work with service providers and investors to develop project proposals.","View","View","$17.56 BN COP","","","16/06/2024 07:21 AM","INDIGO-FUND-0024","Departamento de Prosperidad Social (Government of Colombia Department of Social Prosperity)","impactdb_of_17"
"More details","Outcomes Fund for Physical Rehabilitation in Pakistan","Pakistan","0.0","Pipeline","0.0","USD","The end goal is for the government to expand the package of covered services within the national health insurance scheme. This would be achieved through building a data-driven business case during the term of the intervention that would serve to prove the economic and social benefit for the government to expand healthcare coverage to physical rehabilitation services. This would also help build an evidence base about the cost of delivering quality physical rehabilitation services to different geographies and demographics. The intervention envisions to pay physical rehabilitation service providers based on outcomes linked to quality of service delivery and reimburse the national health insurance scheme for the additional services included.","People with disabilities needing mobility-focused assistive devices.","","View","0","","Target outcomes:  Specific metrics TBD at two levels: (1) impact/economic impact (social inclusion/number of people with disabilities back in active population), (2) service quality and efficiency","16/06/2024 10:44 AM","INDIGO-PL-0056","Pakistan","impactdb_of_23"
"More details","Portugal Inovação Social (Portugal Social Innovation)","Portugal","160.8","Active","150,000,000.0","EUR","Portugal Social Innovation is a government initiative aimed at promoting social innovation and stimulating the social investment market in Portugal.  Portugal Social Innovation is a government initiative aimed at promoting social innovation and stimulating the social investment market in Portugal. We mobilize around EUR 150 million from the European Social Fund, as part of the Portugal 2020 Partnership Agreement. These funds are channelled to the market through 4 financing instruments dedicated to funding projects that offer alternative and innovative solutions to solve social problems.","Entrepreneurs targeting social problems in Portugal","View","View","€150M","","","15/06/2024 06:17 PM","INDIGO-FUND-0007","Portugal Social Innovation Mission Unit","impactdb_of_7"
"More details","Refugee Transitions Outcomes Fund","United Kingdom","17.7","Active","14,000,000.0","GBP","The Refugee Transitions Outcomes Fund (RTOF) is a £14m cross-government initiative which aims to increase the self-sufficiency and integration of newly-granted refugees, helping them to move into work, learn English, access housing and build links in their local communities.","Newly arrived refugees in the UK","","View","£14M","","Value derived from parliamentary statement by Robert Jenrick on March 21 2023","16/06/2024 08:30 AM","INDIGO-FUND-0031","Home Office","impactdb_of_20"
"More details","Rough Sleeping Programme (DCLG 2016)","United Kingdom","12.7","Historic","10,000,000.0","GBP","The London Rough Sleeping SIBs built on the success of the 2012 SIBs and sought to improve outcomes for homeless individuals in London using an outcomes-focused approach to promote a move into settled accommodation and more stable lifestyles.","Rough sleepers in London, UK","View","View","£10M","","","15/06/2024 07:06 PM","INDIGO-FUND-0016","Ministry of Housing, Communities and Local Government (MHCLG)","impactdb_of_11"
"More details","Rwanda Early Childhood Care and Education Programme","Rwanda","0.0","Not known","0.0","USD","The Education Outcomes Fund (EOF), in collaboration with the Ministry of Education (MINEDUC) of Rwanda, will launch a programme with the objective of improving child development and school readiness outcomes for approximately 56,000 children aged 3 – 6. To do so, the programme will uplift the quality of existing community based ECD centres and foster an environment conducive to early learning, setting the stage for continued educational attainment as these children progress through the education system.   The programme will use an innovative financing model called Outcome Based Finance (OBF) where payments are made to selected grantees upon the achievement of pre-defined results (often referred as payment metrics).","The direct participants of this programme are children in the 3-6 years levels, attending the three levels of pre-school in informal community ECD centres in underserved rural areas.","View","View","0","","","16/06/2024 11:23 AM","INDIGO-PL-0085","Education Outcomes Fund","impactdb_of_28"
"More details","Sierra Leone Education Innovation Challenge (SLEIC)","Sierra Leone","18.0","Active","18,000,000.0","USD","To increase literacy and numeracy outcomes among children in Sierra Leone over three years for 134,000 children","Children attending 325 public primary schools across all 16 districts of Sierra Leone","View","View","$18M","","","15/06/2024 07:42 PM","INDIGO-FUND-0019","Education Outcomes Fund (EOF), Government of Sierra Leone","impactdb_of_13"
"More details","Social Impact Outcomes Fund","Australia","19.8","Not known","30,000,000.0","AUD","The New South Wales Government's Social Impact outcomes Fund aims to deliver a range of high impact programs through social impact investment. The first two rounds were focused on advancing the social and economic wellbeing of women facing disadvantage, and improving educational and job readiness outcomes for Indigenous youth, with a particular focus on girls.","Target populations include: - Disadvantanged women - Indigenous youth","View","View","$30M (AUD)","","","16/06/2024 08:12 AM","INDIGO-FUND-0026","Office of Social Impact Investment - New South Wales Treasury","impactdb_of_19"
"More details","Social Impact Partnerships to Pay for Results Act","United States of America","100.0","Active","100,000,000.0","USD","The Social Impact Partnerships to Pay for Results Act (SIPPRA) was enacted as part of the Bipartisan Budget Act in February 2018. SIPPRA appropriated $100 million to support the launch of state and local Pay for Success initiatives over 10 years.","Via Social Finance US:  The Social Impact Partnerships to Pay for Results Act (SIPPRA) was enacted as part of the Bipartisan Budget Act in February 2018. SIPPRA appropriated $100 million to support the launch of state and local Pay for Success initiatives over 10 years. It’s an opportunity for state and local governments to leverage federal funding to tangibly advance their policy objectives, deliver measurable results for people and communities, and catalyze the incorporation of outcomes-driven practices into funding and contracting decisions.  The legislation outlines 20 outcomes across a spectrum of focus areas and priority populations, including workforce development, health, education, public safety and reentry, veteran employment and well-being, and children and families. In fact, half of the outcomes funding granted under SIPPRA must be used for initiatives that directly benefit children.","View","View","$100M","","In April 2022, Treasury issued a request for comment ahead of a second notice of funding availability, which could come in early 2023.","15/06/2024 08:13 PM","INDIGO-FUND-0023","US Department of the Treasury","impactdb_of_16"
"More details","South Africa Green Outcomes Fund","South Africa","26.6","Active","488,100,000.0","ZAR","The aim of the Green Outcomes Fund (GOF) is to incentivise local fund managers to use new approaches and financing models to target high potential and fast-growing SMMEs operating in South Africa’s green economy. The funding will enable lending and investment on terms to SMMEs which would not be feasible without the GOF’s support. The GOF will ultimately blend concessionary funding with private capital, thus enabling participating fund managers to develop and adapt their SMME investment criteria and support services in ways that were not previously possible – realising greater impact in terms of the types of SMMEs funded and green outcomes created.","South African fund managers","View","View","R488.1 M","","https://documents1.worldbank.org/curated/en/501811530120278091/pdf/127701-REVISED-PUBLIC-inBrief-11-WBG.pdf","16/06/2024 07:49 AM","INDIGO-FUND-0025","Green Cape - South Africa","impactdb_of_18"
"More details","Tunisia Skills-for-Employment RBF Program","Tunisia","0.0","Pipeline","0.0","USD","Employment and upskilling","All job seekers under specific criteria related to unemployment length and potential criteria for inclusion of groups from vulnerable backgrounds (with potential focus on youth TBC during design & inception)","","View","0","","Target outcomes are:  Placement in a job 6-month retention in a job  Calls for expression of interest was circulated in January 2024 by EOF:  https://www.educationoutcomesfund.org/post/call-for-expression-of-interest","16/06/2024 10:30 AM","INDIGO-PL-0055","N/A","impactdb_of_22"
"More details","Youth Engagement Fund","United Kingdom","20.3","Historic","16,000,000.0","","The Youth Engagement Fund aimed to help disadvantaged young people to participate and succeed in education or training in order to improve their employability, reduce their long-term dependency on benefits, and reduce their likelihood of offending.  Through the fund, the UK Government aimed to provide funding through social impact bonds and will only pay if projects lead to positive outcomes.","Disadvantaged young people in the UK","View","View","£16M","","","15/06/2024 05:48 PM","INDIGO-FUND-0001","Department for Work and Pensions (DWP)","impactdb_of_6"
